ablation_protocol,ablation_seed,backbone_patch_lens,backbone_switches,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,continuation_unfreeze_blocks,dataset,elapsed_seconds,horizon,inducing_points,inference_ms_batch,latent_dim,mae,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,representation_weight,rmse,seed,selected_hyperparameters,selection_protocol,source_model,training_ms_optimizer_step,variant
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,{},10,extension,0.8181630363540043,,,0,ETTh1,248.46302529843524,96,,62.11335070140531,,0.41126664552951947,LatentFlow,0.4030028343608341,,2785.0,,,False,,0.6348250423233429,42,True,,,180.28524676810775,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,{},0,reference,0.3008927445090006,,,0,ETTh2,232.85517869493924,192,,7.422881601740812,,0.3902497946414888,LatentFlow,0.36935875294162884,,2689.0,,,False,,0.6077489226165924,42,True,,,175.65197656331293,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,{},5,extension,0.3780667946722502,,,0,ETTh2,245.9599133580923,336,,63.144143084299905,,0.426086095167016,LatentFlow,0.4164152469407881,,2545.0,,,False,,0.6453024460985625,42,True,,,178.69463562346937,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,{},0,reference,0.47616924457449133,,,0,ETTh2,231.0452434119652,720,,8.016145446706119,,0.43879702215362193,LatentFlow,0.4136213828137338,,2161.0,,,False,,0.6431340317645566,42,True,,,173.93830019532288,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,{},10,extension,0.2338572077098347,,,0,ETTh2,255.7192648872733,96,,60.81671690880563,,0.3423801412172294,LatentFlow,0.2935449384283467,,2785.0,,,False,,0.5417978759909886,42,True,,,185.71373512822902,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,{},8,extension,0.5479238437754768,,,0,ETTm1,283.62647821428254,192,,61.96213293954983,,0.39701097053425627,LatentFlow,0.3809038154518961,,11329.0,,,False,,0.6171740560424556,42,True,,,181.39742048369953,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,{},2,extension,0.7143086927548017,,,0,ETTm1,280.2500773030333,336,,61.758407926651245,,0.4201304274770124,LatentFlow,0.4198021112291053,,11185.0,,,False,,0.6479213773515312,42,True,,,179.36246685312653,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,{},1,extension,1.082345557338977,,,0,ETTm1,282.7403623778373,720,,65.61581421510844,,0.4798015828203497,LatentFlow,0.5147043482542731,,10801.0,,,False,,0.7174289848161093,42,True,,,180.38360333666787,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,{},10,extension,0.4222585873471366,,,0,ETTm1,270.22007199795917,96,,58.326189857672475,,0.3767005242811487,LatentFlow,0.3416147825317208,,11425.0,,,False,,0.5844782139068323,42,True,,,173.0612973906318,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,{},10,extension,0.1601851667676653,,,0,ETTm2,258.74118414195254,192,,55.88633482788374,,0.29975044013750296,LatentFlow,0.2401862758632883,,11329.0,,,False,,0.4900880286879984,42,True,,,165.77341555639578,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,{},7,extension,0.2208720753793003,,,0,ETTm2,261.72226977022365,336,,57.64221887699299,,0.344826219442067,LatentFlow,0.30661299114874546,,11185.0,,,False,,0.553726458776123,42,True,,,167.26386393420398,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,{},5,extension,0.3378325346285704,,,0,ETTm2,252.8793101629708,720,,55.481286304128886,,0.4058418111048131,LatentFlow,0.41226608322538466,,10801.0,,,False,,0.6420794991474067,42,True,,,162.6601565539204,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,{},9,extension,0.12475134018394682,,,0,ETTm2,265.6387482653372,96,,57.075301562089784,,0.2564074261565873,LatentFlow,0.17150380936515597,,11425.0,,,False,,0.41413018407881835,42,True,,,169.9440989686991,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,{},10,extension,0.15010393107378925,,,0,Electricity,900.1988750550663,192,,62.447949177269216,,0.2660062765206157,LatentFlow,0.17492415022432609,,5071.0,,,False,,0.4182393456196178,42,True,,,624.0181184789435,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,{},1,extension,0.1677634972926624,,,0,Electricity,903.452577830758,336,,66.33198920077061,,0.2851486363901107,LatentFlow,0.1941920761551681,,4927.0,,,False,,0.44067230019047954,42,True,,,624.6424641489284,continuation_frozen
