ci95_high,ci95_low,dataset,horizon,mean,metric,model,paper_value,seeds,std
0.16719565252924523,0.1651305545001464,Weather,96,0.1662350227759841,mse,LatentFlow,0.1662 +/- 0.0013,5,0.0013286121043292445
0.21363897785912944,0.21153803938443683,Weather,96,0.21272939355557421,mae,LatentFlow,0.2127 +/- 0.0014,5,0.0013834274758415977
0.21578670845781645,0.21363427451936673,Weather,192,0.21466307808047116,mse,LatentFlow,0.2147 +/- 0.0014,5,0.0013888580353310972
0.2575468906755823,0.2549091631637742,Weather,192,0.25622041789790884,mae,LatentFlow,0.2562 +/- 0.0017,5,0.001718822864581607
0.27538268024248047,0.27347341196838937,Weather,336,0.2744210336553651,mse,LatentFlow,0.2744 +/- 0.0013,5,0.0012839918370387163
0.29998974707076714,0.2989161954726375,Weather,336,0.2994333037777251,mae,LatentFlow,0.2994 +/- 0.0007,5,0.0006687295236720603
0.35398844575318,0.35088221416738835,Weather,720,0.3522821587207349,mse,LatentFlow,0.3523 +/- 0.0020,5,0.002007226018082828
0.35170212509525667,0.34861928153813543,Weather,720,0.349895023538948,mae,LatentFlow,0.3499 +/- 0.0020,5,0.0019821530509778335
0.15736949944813639,0.15584684114169772,Electricity,96,0.15656332200581743,mse,LatentFlow,0.1566 +/- 0.0010,5,0.0009655024792862997
0.25197158930923785,0.2508933513477443,Electricity,96,0.25139979429860904,mae,LatentFlow,0.2514 +/- 0.0007,5,0.0006845312262226074
0.1709926000535428,0.16894759894503805,Electricity,192,0.16997403464007407,mse,LatentFlow,0.1700 +/- 0.0013,5,0.001329555356367787
0.2637507779352005,0.26182117807724004,Electricity,192,0.2628121518629628,mae,LatentFlow,0.2628 +/- 0.0013,5,0.00125298619459009
0.18841569400016592,0.18583459704573585,Electricity,336,0.18712514552295087,mse,LatentFlow,0.1871 +/- 0.0017,5,0.0016678159610987561
0.2811422299149394,0.278770629631699,Electricity,336,0.2799564297733192,mae,LatentFlow,0.2800 +/- 0.0015,5,0.0014951708100289193
0.22393313352346297,0.2188379396222989,Electricity,720,0.22167379187290667,mse,LatentFlow,0.2217 +/- 0.0032,5,0.003198433231461822
0.310642349399558,0.3075866978658156,Electricity,720,0.3091145236326868,mae,LatentFlow,0.3091 +/- 0.0020,5,0.001959794037926494
0.43807365319745806,0.43249411900805823,Traffic,96,0.43505366108478605,mse,LatentFlow,0.4351 +/- 0.0036,5,0.0035813198332653976
0.29555693121548277,0.29295279987947015,Traffic,96,0.29418599204234686,mae,LatentFlow,0.2942 +/- 0.0017,5,0.0017110588777483496
0.4526168604099189,0.44842082786891047,Traffic,192,0.4503401601445744,mse,LatentFlow,0.4503 +/- 0.0027,5,0.00266116760172002
0.2987384457158585,0.2962010141662822,Traffic,192,0.2975014992039272,mae,LatentFlow,0.2975 +/- 0.0017,5,0.0016672507454050195
0.46614521685731863,0.4604289388918831,Traffic,336,0.4632870778746008,mse,LatentFlow,0.4633 +/- 0.0036,5,0.00364706018087921
0.3034288681599871,0.2999132986539748,Traffic,336,0.3014896625405511,mae,LatentFlow,0.3015 +/- 0.0022,5,0.002214967259574415
0.49414536391319086,0.4892706499616928,Traffic,720,0.49170800693744177,mse,LatentFlow,0.4917 +/- 0.0031,5,0.0031387983096556656
0.3175051233723185,0.3151925894950015,Traffic,720,0.3163481685789332,mae,LatentFlow,0.3163 +/- 0.0015,5,0.0015266074704333096
0.44951204339224954,0.44951204339224954,ETTh1,96,0.44951204339224954,mse,VPNet,0.4495,1,0.0
0.4446760391387979,0.4446760391387979,ETTh1,96,0.4446760391387979,mae,VPNet,0.4447,1,0.0
0.47712484532780347,0.47712484532780347,ETTh1,192,0.47712484532780347,mse,VPNet,0.4771,1,0.0
0.46065659823540356,0.46065659823540356,ETTh1,192,0.46065659823540356,mae,VPNet,0.4607,1,0.0
0.49239039641773985,0.49239039641773985,ETTh1,336,0.49239039641773985,mse,VPNet,0.4924,1,0.0
0.46717376486698714,0.46717376486698714,ETTh1,336,0.46717376486698714,mae,VPNet,0.4672,1,0.0
0.5316784347601763,0.5316784347601763,ETTh1,720,0.5316784347601763,mse,VPNet,0.5317,1,0.0
0.5075772836981812,0.5075772836981812,ETTh1,720,0.5075772836981812,mae,VPNet,0.5076,1,0.0
0.31814206509729975,0.31814206509729975,ETTh2,96,0.31814206509729975,mse,VPNet,0.3181,1,0.0
0.3625360898995202,0.3625360898995202,ETTh2,96,0.3625360898995202,mae,VPNet,0.3625,1,0.0
0.4219253025076211,0.4219253025076211,ETTh2,192,0.4219253025076211,mse,VPNet,0.4219,1,0.0
0.4232138817626443,0.4232138817626443,ETTh2,192,0.4232138817626443,mae,VPNet,0.4232,1,0.0
0.4277407093256361,0.4277407093256361,ETTh2,336,0.4277407093256361,mse,VPNet,0.4277,1,0.0
0.4331985615773277,0.4331985615773277,ETTh2,336,0.4331985615773277,mae,VPNet,0.4332,1,0.0
0.449087420583956,0.449087420583956,ETTh2,720,0.449087420583956,mse,VPNet,0.4491,1,0.0
0.4582465335834767,0.4582465335834767,ETTh2,720,0.4582465335834767,mae,VPNet,0.4582,1,0.0
0.38222129432437346,0.38222129432437346,ETTm1,96,0.38222129432437346,mse,VPNet,0.3822,1,0.0
0.4033692507273308,0.4033692507273308,ETTm1,96,0.4033692507273308,mae,VPNet,0.4034,1,0.0
0.40975231750910496,0.40975231750910496,ETTm1,192,0.40975231750910496,mse,VPNet,0.4098,1,0.0
0.418175817371235,0.418175817371235,ETTm1,192,0.418175817371235,mae,VPNet,0.4182,1,0.0
0.45254131179545126,0.45254131179545126,ETTm1,336,0.45254131179545126,mse,VPNet,0.4525,1,0.0
0.44439108697947965,0.44439108697947965,ETTm1,336,0.44439108697947965,mae,VPNet,0.4444,1,0.0
0.5504828542613317,0.5504828542613317,ETTm1,720,0.5504828542613317,mse,VPNet,0.5505,1,0.0
0.49570332153850777,0.49570332153850777,ETTm1,720,0.49570332153850777,mae,VPNet,0.4957,1,0.0
0.19262267853749895,0.19262267853749895,ETTm2,96,0.19262267853749895,mse,VPNet,0.1926,1,0.0
0.27896777012801066,0.27896777012801066,ETTm2,96,0.27896777012801066,mae,VPNet,0.2790,1,0.0
0.2614196230941909,0.2614196230941909,ETTm2,192,0.2614196230941909,mse,VPNet,0.2614,1,0.0
0.3232210447028725,0.3232210447028725,ETTm2,192,0.3232210447028725,mae,VPNet,0.3232,1,0.0
0.32714339035386975,0.32714339035386975,ETTm2,336,0.32714339035386975,mse,VPNet,0.3271,1,0.0
0.3629313155681867,0.3629313155681867,ETTm2,336,0.3629313155681867,mae,VPNet,0.3629,1,0.0
0.4407563701856812,0.4407563701856812,ETTm2,720,0.4407563701856812,mse,VPNet,0.4408,1,0.0
0.4223376369370785,0.4223376369370785,ETTm2,720,0.4223376369370785,mae,VPNet,0.4223,1,0.0
0.172610905899662,0.172610905899662,Weather,96,0.172610905899662,mse,VPNet,0.1726,1,0.0
0.21899188694288738,0.21899188694288738,Weather,96,0.21899188694288738,mae,VPNet,0.2190,1,0.0
0.21966009469111983,0.21966009469111983,Weather,192,0.21966009469111983,mse,VPNet,0.2197,1,0.0
0.25920548742752336,0.25920548742752336,Weather,192,0.25920548742752336,mae,VPNet,0.2592,1,0.0
0.27825949499587355,0.27825949499587355,Weather,336,0.27825949499587355,mse,VPNet,0.2783,1,0.0
0.3027372855317804,0.3027372855317804,Weather,336,0.3027372855317804,mae,VPNet,0.3027,1,0.0
0.35387318366337633,0.35387318366337633,Weather,720,0.35387318366337633,mse,VPNet,0.3539,1,0.0
0.3502758129877065,0.3502758129877065,Weather,720,0.3502758129877065,mae,VPNet,0.3503,1,0.0
0.17023164237615376,0.17023164237615376,Electricity,96,0.17023164237615376,mse,VPNet,0.1702,1,0.0
0.26501560948140046,0.26501560948140046,Electricity,96,0.26501560948140046,mae,VPNet,0.2650,1,0.0
0.18211274029319666,0.18211274029319666,Electricity,192,0.18211274029319666,mse,VPNet,0.1821,1,0.0
0.2755029809776124,0.2755029809776124,Electricity,192,0.2755029809776124,mae,VPNet,0.2755,1,0.0
0.20017356397352776,0.20017356397352776,Electricity,336,0.20017356397352776,mse,VPNet,0.2002,1,0.0
0.29156546956866236,0.29156546956866236,Electricity,336,0.29156546956866236,mae,VPNet,0.2916,1,0.0
0.24592113703465032,0.24592113703465032,Electricity,720,0.24592113703465032,mse,VPNet,0.2459,1,0.0
0.3285149055356304,0.3285149055356304,Electricity,720,0.3285149055356304,mae,VPNet,0.3285,1,0.0
0.46756939006251386,0.46756939006251386,Traffic,96,0.46756939006251386,mse,VPNet,0.4676,1,0.0
